Province,District,Year,Area_Classification,Population,PHC_Headcount,PHC_Facilities_Total,Med_Pracs_per100k,PHC_Expend_pc,StatsSA_Households_Landline (%),StatsSA_Households_Cellphone (%),StatsSA_Households_LandCell (%),StatsSA_Household_None (%),StatsSA_Households_MobileInt (%),StatsSA_Households_FixInt (%),StatsSA_Households_PubWIFI (%),StatsSA_Households_WorkInt ()%),StatsSA_Households_AnyIntAccess (%),Distance_PHC (km)
EC,A Nzo DM: DC44,2022,Rural,1660133,,74,34.3904,1095.837,0,88.4,3.5,8.2,63.6,6.6,4.2,9.8,66.9,0.91
EC,A Nzo DM: DC44,2023,Rural,1662224,,74,38.8066,1077.148,0.1,90.2,2.3,7.4,67.2,7.7,5.6,9.8,70.2,0.91
EC,A Nzo DM: DC44,2024,Rural,832500,1485616,76,34.7234,1161.001,0.1,91.3,1.4,7.3,68,8,1.7,8.6,70.7,0.91
EC,Amathole DM: DC12,2022,Rural,1574834,,148,34.3904,1095.837,0,88.4,3.5,8.2,63.6,6.6,4.2,9.8,66.9,0.24
EC,Amathole DM: DC12,2023,Rural,1557768,,148,38.8066,1077.148,0.1,90.2,2.3,7.4,67.2,7.7,5.6,9.8,70.2,0.24
EC,Amathole DM: DC12,2024,Rural,770438,1977780,148,34.7234,1161.001,0.1,91.3,1.4,7.3,68,8,1.7,8.6,70.7,0.24
EC,Buffalo City MM: BUF,2022,Urban,1593518,,79,34.3904,1095.837,0,88.4,3.5,8.2,63.6,6.6,4.2,9.8,66.9,0.91
EC,Buffalo City MM: BUF,2023,Urban,1588628,,79,38.8066,1077.148,0.1,90.2,2.3,7.4,67.2,7.7,5.6,9.8,70.2,0.91
EC,Buffalo City MM: BUF,2024,Urban,791614,1785680,79,34.7234,1161.001,0.1,91.3,1.4,7.3,68,8,1.7,8.6,70.7,0.91
EC,C Hani DM: DC13,2022,Rural,1442868,,159,34.3904,1095.837,0,88.4,3.5,8.2,63.6,6.6,4.2,9.8,66.9,2.3
EC,C Hani DM: DC13,2023,Rural,1424007,,159,38.8066,1077.148,0.1,90.2,2.3,7.4,67.2,7.7,5.6,9.8,70.2,2.3
EC,C Hani DM: DC13,2024,Rural,702218,1763283,159,34.7234,1161.001,0.1,91.3,1.4,7.3,68,8,1.7,8.6,70.7,2.3
EC,Joe Gqabi DM: DC14,2022,Rural,681370,,52,34.3904,1095.837,0,88.4,3.5,8.2,63.6,6.6,4.2,9.8,66.9,8.99
EC,Joe Gqabi DM: DC14,2023,Rural,676891,,52,38.8066,1077.148,0.1,90.2,2.3,7.4,67.2,7.7,5.6,9.8,70.2,8.99
EC,Joe Gqabi DM: DC14,2024,Rural,336219,745262,52,34.7234,1161.001,0.1,91.3,1.4,7.3,68,8,1.7,8.6,70.7,8.99
EC,N Mandela Bay MM: NMA,2022,Urban,2428647,,48,34.3904,1095.837,0,88.4,3.5,8.2,63.6,6.6,4.2,9.8,66.9,0.91
EC,N Mandela Bay MM: NMA,2023,Urban,2432359,,48,38.8066,1077.148,0.1,90.2,2.3,7.4,67.2,7.7,5.6,9.8,70.2,0.91
EC,N Mandela Bay MM: NMA,2024,Urban,1218016,2224174,48,34.7234,1161.001,0.1,91.3,1.4,7.3,68,8,1.7,8.6,70.7,0.91
EC,OR Tambo DM: DC15,2022,Rural,3082160,,153,34.3904,1095.837,0,88.4,3.5,8.2,63.6,6.6,4.2,9.8,66.9,4.52
EC,OR Tambo DM: DC15,2023,Rural,3111624,,153,38.8066,1077.148,0.1,90.2,2.3,7.4,67.2,7.7,5.6,9.8,70.2,4.52
EC,OR Tambo DM: DC15,2024,Rural,1571532,2793805,153,34.7234,1161.001,0.1,91.3,1.4,7.3,68,8,1.7,8.6,70.7,4.52
EC,Sarah Baartman DM: DC10,2022,Rural,966048,,63,34.3904,1095.837,0,88.4,3.5,8.2,63.6,6.6,4.2,9.8,66.9,8.99
EC,Sarah Baartman DM: DC10,2023,Rural,969327,,63,38.8066,1077.148,0.1,90.2,2.3,7.4,67.2,7.7,5.6,9.8,70.2,8.99
EC,Sarah Baartman DM: DC10,2024,Rural,486523,1167591,63,34.7234,1161.001,0.1,91.3,1.4,7.3,68,8,1.7,8.6,70.7,8.99
FS,Fezile Dabi DM: DC20,2022,Rural,1011758,,41,23.5858,1746.735,0.1,82.5,10.4,7,68.2,6.2,6.1,8.6,72.6,4.52
FS,Fezile Dabi DM: DC20,2023,Rural,1013488,,41,24.7306,1704.188,0.1,88.3,5.2,6.4,71.5,6.9,7.4,9,75.3,4.52
FS,Fezile Dabi DM: DC20,2024,Rural,507595,915770,40,21.6222,1560.983,0,87.9,5.7,6,72,11.3,5.2,8.7,77.2,4.52
FS,Lejweleputswa DM: DC18,2022,Rural,1287006,,43,23.5858,1746.735,0.1,82.5,10.4,7,68.2,6.2,6.1,8.6,72.6,0.91
FS,Lejweleputswa DM: DC18,2023,Rural,1288794,,43,24.7306,1704.188,0.1,88.3,5.2,6.4,71.5,6.9,7.4,9,75.3,0.91
FS,Lejweleputswa DM: DC18,2024,Rural,645123,1124437,43,21.6222,1560.983,0,87.9,5.7,6,72,11.3,5.2,8.7,77.2,0.91
FS,Mangaung MM: MAN,2022,Urban,1754467,,47,23.5858,1746.735,0.1,82.5,10.4,7,68.2,6.2,6.1,8.6,72.6,0.24
FS,Mangaung MM: MAN,2023,Urban,1769817,,48,24.7306,1704.188,0.1,88.3,5.2,6.4,71.5,6.9,7.4,9,75.3,0.24
